group,group_pair,kernel_id,workload,kernel,auto_time_ms,auto_energy_mJ,pref_pair,pref_time_ms,pref_energy_mJ,group_time_ms,group_energy_mJ,uses_preferred_pair
1,1890/810,gramschmidt::kernel1,gramschmidt,kernel1,0.0796207363291824,12.2136214529125,1890/810,0.0821138778016023,5.919836257912841,0.0821138778016023,5.919836257912841,True
1,1890/810,doitgen::kernel1,doitgen,kernel1,0.024243535475487403,4.7642612283687,1890/810,0.0253597023716801,2.665419916097183,0.0253597023716801,2.665419916097183,True
1,1890/810,nw::shared1,nw,shared_1,0.0088833896835563,1.4585492734285002,1890/810,0.0093448452534166,0.8153101038600392,0.0093448452534166,0.8153101038600392,True
1,1890/810,nw::shared2,nw,shared_2,0.0084325397762344,1.4027999365873,1890/810,0.0091337262032808,0.7986729411806343,0.0091337262032808,0.7986729411806343,True
1,1890/810,myocyte::solver2,myocyte,solver_2,443.8926666666666,62705.25,1890/810,455.9126363636364,32109.636363636364,455.9126363636364,32109.636363636364,True
2,1890/810,syr2k::syr2kkernel,syr2k,syr2k_kernel,15.5377577639751,3970.515527950311,1890/810,15.722866381774809,2388.9198606100035,15.722866381774809,2388.9198606100035,True
3,1890/5001,particlefilter::likelihood,particlefilter,likelihood,6.209976426799,1225.0111662531017,1890/5001,6.464649870801034,957.4870801033592,6.464649870801034,957.4870801033592,True
4,1890/810,particlefilter::sum,particlefilter,sum,0.0117943472199616,1.6474419306824,1890/810,0.0122625015960409,0.8225484434741195,0.0122625015960409,0.8225484434741195,True
4,1890/810,particlefilter::normalizeweights,particlefilter,normalize_weights,7.351093979441901,1018.2613803230545,1890/810,7.587107775785165,507.7907584954247,7.587107775785165,507.7907584954247,True
5,1890/810,particlefilter::findindex,particlefilter,find_index,28.803913793103398,5425.362068965517,1890/810,29.71925443786982,3137.1686390532545,29.71925443786982,3137.1686390532545,True
6,1890/810,syrk::syrkkernel,syrk,syrk_kernel,7.9592384737678,1987.608903020668,1890/810,8.071770967741935,1188.923387096774,8.071770967741935,1188.923387096774,True
7,1470/810,preeuler3d::computestepfactor,pre_euler3d,compute_step_factor,0.0072640945028315,1.5152429545646,1470/810,0.008789998327606,0.5934662734510904,0.008789998327606,0.5934662734510904,True
7,1470/810,3mm::mm3kernel1,3mm,mm3_kernel1,0.3298161609498,112.27612137203161,1470/810,0.4239959788904772,47.809100763774445,0.4239959788904772,47.809100763774445,True
7,1470/810,3mm::mm3kernel2,3mm,mm3_kernel2,0.3275530298067,112.2482803799541,1470/810,0.4233430195626124,47.61098894836864,0.4233430195626124,47.61098894836864,True
7,1470/810,3mm::mm3kernel3,3mm,mm3_kernel3,0.3288522854324,113.16270963498839,1470/810,0.4237827742251701,48.4911281628457,0.4237827742251701,48.4911281628457,True
7,1470/810,euler3d::computestepfactor,euler3d,compute_step_factor,0.0072604597604343,1.4915873221009,1470/810,0.0088487340496515,0.5964294982361438,0.0088487340496515,0.5964294982361438,True
8,1470/810,2mm::mm2kernel1,2mm,mm2_kernel1,2.1347780623132,696.625693555271,1470/810,2.7981389863280546,383.0268556527444,2.7981389863280546,383.0268556527444,True
9,1470/810,2mm::mm2kernel2,2mm,mm2_kernel2,2.032619105691,674.4752032520325,1470/810,2.795168809390721,314.63107881498047,2.795168809390721,314.63107881498047,True
10,1890/5001,gramschmidt::kernel2,gramschmidt,kernel2,0.0068690622239501,0.7647887149798,1890/5001,0.0060825893318767,0.6468147329927897,0.0060825893318767,0.6468147329927897,True
10,1890/5001,atax::ataxkernel1,atax,atax_kernel1,1.2237679882524999,296.9816446402349,1890/5001,1.238448736998514,216.9891035165924,1.238448736998514,216.9891035165924,True
11,1470/9251,sradv1::extract,srad_v1,extract,0.0467676313229571,14.5006360371146,1470/9251,0.0471987709560489,9.222473946533755,0.0471987709560489,9.222473946533755,True
11,1470/9251,preeuler3d::computeflux,pre_euler3d,compute_flux,0.0512522730301259,17.4272066586713,1470/9251,0.0588173840416897,12.623839828724018,0.0588173840416897,12.623839828724018,True
11,1470/9251,euler3d::computeflux,euler3d,compute_flux,0.0256531047822317,8.8364364908752,1470/9251,0.0287177917281702,5.849944574950175,0.0287177917281702,5.849944574950175,True
11,1470/9251,atax::ataxkernel2,atax,atax_kernel2,1.2162487840466,241.7205739299611,1470/9251,1.4059783525442788,174.92971605285354,1.4059783525442788,174.92971605285354,True
12,1050/9251,kmeans::kmeanspoint,kmeans,kmeansPoint,2.3742255460588,794.7644824311491,1050/9251,2.473166172106825,568.2388724035608,2.473166172106825,568.2388724035608,True
13,1890/9251,correlation::meankernel,correlation,mean_kernel,0.6022942664418001,104.5072271741749,1890/9251,0.6129427555773473,86.04719293944595,0.6129427555773473,86.04719293944595,True
13,1890/9251,correlation::stdkernel,correlation,std_kernel,0.604474492263,99.2397243713733,1890/9251,0.6182232937685459,86.90046983184965,0.6182232937685459,86.90046983184965,True
14,1890/9251,covariance::meankernel,covariance,mean_kernel,0.6037243419463,104.3458101907751,1890/9251,0.6118324972470328,86.38272360210449,0.6118324972470328,86.38272360210449,True
14,1890/9251,gramschmidt::kernel3,gramschmidt,kernel3,1.1533431734317001,177.3369464944649,1890/9251,1.17304105090312,163.3373211353507,1.17304105090312,163.3373211353507,True
15,1950/9251,covariance::covarkernel,covariance,covar_kernel,1348.81175,242987.75,1950/9251,1342.44225,226201.25,1342.44225,226201.25,True
16,1890/5001,gesummv::gesummvkernel,gesummv,gesummv_kernel,1.4131876236224001,303.2195535461995,1890/5001,1.4360054566341185,234.58587018954623,1.4360054566341185,234.58587018954623,True
17,1470/9251,correlation::reducekernel,correlation,reduce_kernel,0.0463599376923932,16.0785428179356,1470/9251,0.0483825089023068,10.704443412292925,0.0483825089023068,10.704443412292925,True
17,1470/9251,covariance::reducekernel,covariance,reduce_kernel,0.0462931264350788,15.5817902377601,1470/9251,0.0471385864185309,10.03022503794628,0.0471385864185309,10.03022503794628,True
17,1470/9251,bicg::bicgkernel1,bicg,bicg_kernel1,1.1971323916685999,219.7598755087383,1470/9251,1.3707867324561405,160.53316885964912,1.3707867324561405,160.53316885964912,True
18,1950/9251,correlation::corrkernel,correlation,corr_kernel,1351.5047499999998,243653.5,1950/9251,1341.242,222262.5,1341.242,222262.5,True
19,1470/5001,doitgen::kernel2,doitgen,kernel2,0.0062991934528833,0.684274976882,1470/810,0.0064285284864721,0.2877566741034149,0.0066826537540363,0.523693946068473,False
19,1470/5001,jacobi1d::kernel1,jacobi1d,kernel1,0.0058807652047093,0.6770520917869,1470/810,0.0063646639599609,0.2836873153819521,0.0067009109196442,0.5228775250646971,False
19,1470/5001,lavamd::kernelgpucuda,lavamd,kernel_gpu_cuda,0.6408376265537999,217.953479430988,1470/810,0.7697397494942354,123.0254715325192,0.76975,145.55434113300493,False
19,1470/5001,gemm::gemmkernel,gemm,gemm_kernel,0.32553444010410004,103.9372395833333,1470/810,0.4212288446014772,42.56060699340425,0.420670789163722,56.663553760726906,False
19,1470/5001,hotspot::calculatetemp,hotspot,calculate_temp,0.009278703583424499,2.4721231465845,1890/810,0.0097150347873608,1.6180670730893854,0.0112224875711223,1.3757953920567407,False
19,1470/5001,jacobi1d::kernel2,jacobi1d,kernel2,0.0063036988755488,0.6731565192066,1890/810,0.0058559617722317,0.4251698041998192,0.0065938674530056,0.5136387254346009,False
19,1470/5001,mvt::kernel1,mvt,kernel1,0.4603225925243,111.7953415577241,1470/5001,0.5821614856211433,67.39748515543137,0.5821614856211433,67.39748515543137,True
20,1470/9251,mvt::kernel2,mvt,kernel2,1.1822976359338,214.6075650118204,1470/9251,1.3656542872747133,160.28399781540142,1.3656542872747133,160.28399781540142,True
21,1050/9251,sradv1::prepare,srad_v1,prepare,0.0676408279220779,22.6572375541125,630/9251,0.0696044128906522,13.95758335073432,0.0689227662448653,14.183966035343092,False
21,1050/9251,fdtd2d::step1,fdtd2d,step1,0.0677983972664036,22.852255623805,630/9251,0.0681195079086116,13.937957248538847,0.0679226234140245,14.221629037954736,False
21,1050/9251,fdtd2d::step2,fdtd2d,step2,0.067651138562286,22.7764548295877,630/9251,0.0683740017503555,13.966866316595558,0.0677564707157763,14.22108843537415,False
21,1050/9251,fdtd2d::step3,fdtd2d,step3,0.0867349905459087,29.2824604923066,630/9251,0.0868147897350418,18.414661249435703,0.0867831988197518,18.68305128872689,False
21,1050/9251,streamcluster::computecost,streamcluster,compute_cost,0.386796240427,126.6268275702018,630/9251,0.3907088607594937,76.74753867791843,0.3896687967581047,78.223036159601,False
21,1050/9251,nn::euclid,nn,euclid,0.1508754978877,51.1659927579963,630/9251,0.1518756758398639,32.82097077941802,0.1515500257630406,33.506258903403754,False
21,1050/9251,hotspot3d::hotspotopt1,hotspot3d,hotspotOpt1,0.0382728219102585,13.520491113118199,1050/9251,0.0399548672707803,8.338127886720685,0.0399548672707803,8.338127886720685,True
21,1050/9251,pathfinder::dynproc,pathfinder,dynproc,0.019638456734602495,6.0374818835598,1470/9251,0.02204249344237,3.97641457447043,0.0257208673062578,4.241184186836081,False
21,1050/9251,jacobi2d::kernel1,jacobi2d,kernel1,0.0169041370986554,5.4605036732513,1470/9251,0.0166728522886801,3.258795754429139,0.0177814980511536,3.2574610941989817,False
21,1050/9251,jacobi2d::kernel2,jacobi2d,kernel2,0.0164680881897647,4.6157671811289,1470/9251,0.0163814411710743,2.976623725526171,0.017476235914213,2.975204820624668,False
21,1050/9251,gemver::gemverkernel1,gemver,gemver_kernel1,0.1792517209235,60.948085472536896,1470/9501,0.1840031649063408,42.04202701210761,0.1897472581685704,40.98888087738606,False
22,1890/9501,gemver::gemverkernel2,gemver,gemver_kernel2,1.1949811230585,212.0100358422939,1890/9501,1.22071337890625,190.741943359375,1.22071337890625,190.741943359375,True
23,1890/9251,sradv1::reduce,srad_v1,reduce,0.1156414265229,36.0272908090105,1890/5001,0.1178691419141914,28.01999057048562,0.1168118166526492,31.698252499766376,False
23,1890/9251,gemver::gemverkernel3,gemver,gemver_kernel3,0.677677690431,142.1137164543236,1890/5001,0.698162105557107,111.1587545378386,0.697876622470342,127.86196789951153,False
