workload,kernel,kernel_id,requested_core_clock,requested_mem_clock,effective_core_clock,effective_mem_clock,time_per_launch_mean_ms,energy_per_launch_mean_mJ,auto_time_per_launch_mean_ms,auto_energy_per_launch_mean_mJ,actual_time_ratio,actual_energy_ratio,is_virtual_auto,global_limit,allowed_total_time_ms,auto_total_time_ms,solver_objective_energy_mJ,constraint_name,constraint_limit,selected_actual_energy_saving_pct
fdtd2d,step1,fdtd2d::step1,630,9251,630.0,9251.0,0.0681195079086116,13.937957248538847,0.0677983972664036,22.852255623805068,1.0047362571263485,0.6099160397111852,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,39.00839602888148
fdtd2d,step2,fdtd2d::step2,630,9251,630.0,9251.0,0.0683740017503555,13.966866316595558,0.067651138562286,22.77645482958773,1.0106851592365145,0.6132151127598626,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,38.67848872401374
fdtd2d,step3,fdtd2d::step3,630,9251,630.0,9251.0,0.0868147897350418,18.414661249435703,0.0867349905459087,29.282460492306623,1.0009200345631082,0.6288631808885659,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,37.113681911143416
gemm,gemm_kernel,gemm::gemmkernel,1470,810,1470.0,810.0,0.4212288446014772,42.56060699340425,0.3255344401041666,103.93723958333334,1.2939609230491549,0.4094837150190101,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,59.05162849809899
gemver,gemver_kernel1,gemver::gemverkernel1,1470,9501,1470.0,9501.0,0.1840031649063408,42.04202701210761,0.1792517209235623,60.94808547253693,1.0265071038553912,0.6898006177905563,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,31.019938220944365
gemver,gemver_kernel2,gemver::gemverkernel2,1890,9501,1890.0,9501.0,1.22071337890625,190.741943359375,1.1949811230585423,212.01003584229392,1.0215336086496885,0.8996835579107235,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,10.031644208927649
gemver,gemver_kernel3,gemver::gemverkernel3,1890,5001,1890.0,5001.0,0.698162105557107,111.1587545378386,0.6776776904310111,142.11371645432365,1.0302273712346464,0.7821817436852818,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,21.78182563147182
gesummv,gesummv_kernel,gesummv::gesummvkernel,1890,5001,1890.0,5001.0,1.4360054566341185,234.58587018954623,1.413187623622492,303.2195535461995,1.016146357801476,0.773650206413235,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,22.6349793586765
gramschmidt,kernel1,gramschmidt::kernel1,1890,810,1890.0,810.0,0.0821138778016023,5.919836257912841,0.0796207363291824,12.213621452912513,1.0313127155985131,0.4846913162271925,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,51.53086837728075
gramschmidt,kernel2,gramschmidt::kernel2,1890,5001,1890.0,5001.0,0.0060825893318767,0.6468147329927897,0.0068690622239501,0.7647887149798805,0.885505056377094,0.8457430402981372,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,15.425695970186283
