constraint_name,constraint_limit,feature_set,model,n_kernels,actual_global_energy_saving_pct,actual_global_slowdown_pct,actual_global_time_ratio,actual_global_energy_ratio,pred_global_energy_saving_pct,pred_global_slowdown_pct,global_violates_constraint,global_violation_over_bound_pct,auto_total_time_ms,actual_selected_total_time_ms,pred_selected_total_time_ms,allowed_total_time_ms,auto_total_energy_mJ,actual_selected_total_energy_mJ,pred_selected_total_energy_mJ,auto_selection_rate_pct,measured_oracle_global_energy_saving_pct,measured_oracle_global_slowdown_pct,measured_oracle_global_time_ratio,measured_oracle_global_energy_ratio,global_oracle_gap_pp
0pct,1.0,ptx,random_forest,65,7.733603075499262,-0.11575623739169538,0.998842437626083,0.9226639692450074,6.747383354576564,-9.731458971984353e-08,False,0.0,3232.870959453132,3229.12870967074,3232.870956307077,3232.870959453132,568841.4193367946,524849.4818362506,530459.5080945267,4.615384615384616,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.664676077403454
0pct,1.0,ptx,extra_trees,65,8.136051273286515,0.42568433275376183,1.0042568433275376,0.9186394872671348,7.679691775291609,-6.888938197668892e-07,True,0.42568433275376183,3232.870959453133,3246.6327846256713,3232.8709371820846,3232.870959453133,568841.4193367946,522560.1897958623,525156.1516415348,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.262227879616201
0pct,1.0,ptx,xgboost,65,7.328553705420882,0.2868235414944076,1.002868235414944,0.9267144629457912,6.239146151531227,-9.003627177150975e-07,True,0.2868235414944076,3232.870959453132,3242.1435944309796,3232.870930345567,3232.870959453132,568841.4193367946,527153.5704220192,533350.5718139274,1.5384615384615385,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,6.069725447481835
0pct,1.0,launch,random_forest,65,7.307419456651331,-0.3421861696213613,0.9965781383037864,0.9269258054334867,4.730519545854007,-1.983218389511876e-06,False,0.0,3232.870959453132,3221.808522148178,3232.8708953382406,3232.870959453132,568841.4193367946,527273.7907826861,541932.2648101542,1.5384615384615385,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,6.0908596962513855
0pct,1.0,launch,extra_trees,65,7.329981659381557,-0.30192747179584867,0.9969807252820415,0.9267001834061844,4.585651976303751,-3.3040781222126725e-07,False,0.0,3232.870959453133,3223.110033898834,3232.8709487714746,3232.870959453133,568841.4193367946,527145.4476284418,542756.3315489426,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,6.068297493521159
0pct,1.0,launch,xgboost,65,7.5607350920684935,-0.17996445758814428,0.9982003554241186,0.9243926490793151,7.446867170084048,-3.518281888048591e-07,False,0.0,3232.870959453132,3227.0529407664276,3232.8709480789807,3232.870959453132,568841.4193367946,525832.8265267771,526480.5544303628,1.5384615384615385,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.837544060834223
0pct,1.0,runtime,random_forest,65,8.183226837377067,-0.07419233220749,0.9992580766779251,0.9181677316262293,8.16713991299942,-2.8121845963013925e-07,False,0.0,3232.870959453132,3230.472417091055,3232.870950361702,3232.870959453132,568841.4193367946,522291.83564750943,522383.3447364669,1.5384615384615385,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.21505231552565
0pct,1.0,runtime,extra_trees,65,9.315895299084865,-0.5890491877981519,0.9941095081220185,0.9068410470091514,9.009957338188734,-1.076112976505783e-06,False,0.0,3232.870959453133,3213.827759323912,3232.870924663789,3232.870959453133,568841.4193367946,515848.74829355057,517589.05013260216,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,4.082383853817852
0pct,1.0,runtime,xgboost,65,8.167332023243024,-0.08573151564947867,0.9991426848435052,0.9183266797675698,8.570800619369379,-2.56076260196636e-07,False,0.0,3232.870959453133,3230.099370180602,3232.870951174518,3232.870959453133,568841.4193367946,522382.2519338305,520087.1554450471,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.230947129659693
0pct,1.0,ptx_launch,random_forest,65,8.168743406471723,0.3253821930156331,1.0032538219301563,0.9183125659352828,7.123069286415163,-3.092605060928122e-07,True,0.3253821930156331,3232.870959453133,3243.3901458783666,3232.87094945514,3232.870959453133,568841.4193367946,522374.2234014401,528322.4509076073,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.229535746430994
0pct,1.0,ptx_launch,extra_trees,65,8.191669187373908,0.4561399248636411,1.0045613992486364,0.9180833081262609,7.645358795828749,-2.4577431201322497e-07,True,0.4561399248636411,3232.870959453133,3247.617374618521,3232.8709515075666,3232.870959453133,568841.4193367946,522243.81206396205,525351.4518492119,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.206609965528809
0pct,1.0,ptx_launch,xgboost,65,7.54129787143516,0.0265799729779026,1.000265799729779,0.9245870212856484,6.2299789967194314,-2.343303329155333e-09,True,0.0265799729779026,3232.870959453132,3233.7302556805653,3232.870959377376,3232.870959453132,568841.4193367946,525943.3934885074,533402.7183874716,1.5384615384615385,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.856981281467557
0pct,1.0,ptx_runtime,random_forest,65,7.98693451541026,-0.11954369717319668,0.998804563028268,0.9201306548458974,7.691093682198069,-6.454414780421303e-08,False,0.0,3232.870959453132,3229.006265983363,3232.870957366503,3232.870959453132,568841.4193367946,523408.4276778346,525091.2928724566,1.5384615384615385,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.411344637492457
0pct,1.0,ptx_runtime,extra_trees,65,8.447462139175133,-0.07730269123826794,0.9992269730876173,0.9155253786082487,8.212005234670961,-4.346169535374145e-07,False,0.0,3232.870959453133,3230.371863197215,3232.8709454025275,3232.870959453133,568841.4193367946,520788.75580637244,522128.13220388046,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,4.950817013727583
0pct,1.0,ptx_runtime,xgboost,65,10.423643129336357,-0.0759628523446465,0.9992403714765535,0.8957635687066364,9.735597037452436,-7.494368459148859e-08,False,0.0,3232.870959453133,3230.4151784597107,3232.8709570303004,3232.870959453133,568841.4193367946,509547.41981327545,513461.31096803927,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,2.97463602356636
0pct,1.0,launch_runtime,random_forest,65,8.18694650941949,-0.07151983581797916,0.9992848016418202,0.9181305349058051,8.232401152067482,-1.0475775802376575e-07,False,0.0,3232.870959453132,3230.558815450724,3232.870956066449,3232.870959453132,568841.4193367946,522270.67661226867,522012.11177787534,1.5384615384615385,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.211332643483226
0pct,1.0,launch_runtime,extra_trees,65,8.934147703392526,-0.6263210854046464,0.9937367891459535,0.9106585229660747,8.878929192454043,-4.380824702998609e-07,False,0.0,3232.870959453133,3212.622806970154,3232.870945290492,3232.870959453133,568841.4193367946,518020.286735171,518334.3924965301,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,4.464131449510191
0pct,1.0,launch_runtime,xgboost,65,7.912012270196744,-0.43705401008728995,0.9956294598991271,0.9208798772980326,8.202075360112172,-6.111844808032174e-07,False,0.0,3232.870959453133,3218.7415672838956,3232.8709396943273,3232.870959453133,568841.4193367946,523834.61644090613,522184.61744325905,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.486266882705973
