target_name,feature_set,model,held_out_kernel_id,n_train_rows,n_test_rows,train_s,predict_s,predict_per_row_ms,n_features
time_ratio,ptx,random_forest,2dconv::convolution2dkernel,1640,26,1.0163044249638915,0.25727627403102815,9.895241308885698,59
time_ratio,ptx,random_forest,2mm::mm2kernel1,1641,25,0.9985494939610362,0.26100216899067163,10.440086759626865,59
time_ratio,ptx,random_forest,2mm::mm2kernel2,1640,26,0.9052125390153378,0.27436721115373075,10.55258504437426,59
time_ratio,ptx,random_forest,3mm::mm3kernel1,1641,25,1.032847800059244,0.2595681748352945,10.38272699341178,59
time_ratio,ptx,random_forest,3mm::mm3kernel2,1640,26,0.9407903600949794,0.2627401321660727,10.105389698695104,59
time_ratio,ptx,random_forest,3mm::mm3kernel3,1640,26,0.9509740869980305,0.2653269770089537,10.204883731113604,59
time_ratio,ptx,random_forest,atax::ataxkernel1,1640,26,0.9744003331288695,0.30041848099790514,11.55455696145789,59
time_ratio,ptx,random_forest,atax::ataxkernel2,1640,26,0.9215490550268441,0.26496075512841344,10.190798274169747,59
time_ratio,ptx,random_forest,bicg::bicgkernel1,1640,26,0.9596176880877465,0.23240656801499426,8.938714154422858,59
time_ratio,ptx,random_forest,bicg::bicgkernel2,1641,25,1.0415422378573567,0.27679988695308566,11.071995478123426,59
time_ratio,ptx,random_forest,correlation::corrkernel,1641,25,0.9229624120052904,0.2654056439641863,10.616225758567452,59
time_ratio,ptx,random_forest,correlation::meankernel,1640,26,0.9364437840413302,0.2684374188538641,10.324516109764001,59
time_ratio,ptx,random_forest,correlation::reducekernel,1640,26,0.9910431168973446,0.2522589589934796,9.702267653595369,59
time_ratio,ptx,random_forest,correlation::stdkernel,1640,26,0.9856461840681732,0.27287412411533296,10.495158619820497,59
time_ratio,ptx,random_forest,covariance::covarkernel,1641,25,0.8999467229004949,0.25865291291847825,10.34611651673913,59
time_ratio,ptx,random_forest,covariance::meankernel,1641,25,0.9591326899826527,0.2660784060135484,10.643136240541935,59
time_ratio,ptx,random_forest,covariance::reducekernel,1640,26,0.9519338188692927,0.25551868393085897,9.827641689648422,59
time_ratio,ptx,random_forest,doitgen::kernel1,1641,25,0.9469095761887729,0.24911364796571434,9.964545918628573,59
time_ratio,ptx,random_forest,doitgen::kernel2,1640,26,0.9168360370676965,0.23909573117271066,9.195989660488872,59
time_ratio,ptx,random_forest,euler3d::computeflux,1640,26,0.9708530839998275,0.26275260699912906,10.105869499966502,59
time_ratio,ptx,random_forest,euler3d::computestepfactor,1641,25,0.9986161750275642,0.24566474882885814,9.826589953154325,59
time_ratio,ptx,random_forest,euler3d::timestep,1640,26,0.9504675751086324,0.2649409540463239,10.19003669408938,59
time_ratio,ptx,random_forest,fdtd2d::step1,1640,26,1.0172225448768586,0.2581431521102786,9.928582773472254,59
time_ratio,ptx,random_forest,fdtd2d::step2,1640,26,0.8995057288557291,0.2680506049655378,10.309638652520684,59
time_ratio,ptx,random_forest,fdtd2d::step3,1640,26,0.9856607760302722,0.2872375319711864,11.04759738350717,59
time_ratio,ptx,random_forest,gemm::gemmkernel,1641,25,1.030931944027543,0.26682988996617496,10.673195598646998,59
time_ratio,ptx,random_forest,gemver::gemverkernel1,1640,26,0.9180833559948951,0.258892108919099,9.957388804580729,59
time_ratio,ptx,random_forest,gemver::gemverkernel2,1640,26,1.0329141619149595,0.2700989921577275,10.388422775297212,59
