n,mae,rmse,mape_pct,median_ape_pct,p90_ape_pct,max_ape_pct,mean_true,mean_pred,target_name,target_col,feature_set,model,n_features,n_folds,n_predict_rows,train_total_s,train_mean_fold_s,train_median_fold_s,train_p90_fold_s,predict_total_s,predict_mean_fold_s,predict_median_fold_s,predict_p90_fold_s,predict_mean_per_row_ms,predict_median_per_row_ms,predict_p90_per_row_ms
1666,1.0481604824908315,2.575578282490246,27.879250874800032,7.790072281267363,62.4724458894205,656.9657923072075,3.3340204404191613,2.901236157449796,time_ratio,time_ratio_to_auto,ptx,random_forest,59,65,1666,62.5635123080574,0.9625155739701138,0.9590527899563313,1.02206407263875,17.097024337854236,0.2630311436592959,0.26275260699912906,0.2845924052875489,10.262319530524751,10.258088649537127,11.139113269674663
1666,1.081380506580765,2.609883258448706,27.777493013966954,7.06738896826205,62.62899143492558,694.7159495822546,3.3340204404191613,2.8552304390801972,time_ratio,time_ratio_to_auto,ptx,extra_trees,59,65,1666,34.77124660788104,0.5349422555058622,0.5262100230902433,0.5768337769433856,17.264821554534137,0.2656126393005252,0.2637389318551868,0.29264326565898957,10.363038147979674,10.236710766688564,11.35211812446897
1666,1.013559902490859,2.5081132163511612,29.332033766506818,6.69831783766953,57.865560198323394,856.722789951209,3.3340204404191613,2.990483121031902,time_ratio,time_ratio_to_auto,ptx,xgboost,59,65,1666,87.51889591081999,1.3464445524741537,1.1989456119481474,1.8467927366495136,0.4870842171367258,0.007493603340565012,0.004438831005245447,0.020773284370079637,0.29236747727294465,0.17423556186258793,0.8028427532945688
1666,0.6504730489161407,1.5214558096167017,18.18885574762665,6.540520436630336,43.487808599698475,373.9081873176573,3.3340204404191613,3.2091401371766275,time_ratio,time_ratio_to_auto,launch,random_forest,19,65,1666,68.75860448437743,1.0578246843750374,1.0579863712191582,1.096927144890651,16.495078914798796,0.2537704448430584,0.24889775086194277,0.2715507575776428,9.90100775198007,9.790704203769565,10.527925959859903
1666,0.6819263587221233,1.5844363058801916,18.40204142512481,6.858927024801562,45.821718683705214,334.33458231660677,3.3340204404191613,3.1941006397801313,time_ratio,time_ratio_to_auto,launch,extra_trees,19,65,1666,33.55167951784097,0.516179684889861,0.511415169108659,0.5359472792595625,16.49296485981904,0.2537379209202929,0.24967263801954687,0.2784678977448493,9.89973881141599,9.750851456863948,10.91081901288663
1666,0.6209085130333851,1.5157847858322016,18.835394067616786,6.711587162246415,44.89030454956084,407.6248372850619,3.3340204404191613,3.295814205725797,time_ratio,time_ratio_to_auto,launch,xgboost,19,65,1666,62.476366341114044,0.9611748667863699,0.7794152689166367,1.4438181051518773,0.45405196701176465,0.006985414877104071,0.003228086046874523,0.01948836036026478,0.272540196285573,0.12568953053022808,0.7587880343915179
1666,0.35908646665980254,0.9482029250113441,9.356990886064573,3.8654535867991187,24.626122493870437,189.00484184753518,3.3340204404191613,3.1696669201887713,time_ratio,time_ratio_to_auto,runtime,random_forest,162,65,1666,73.6899887016043,1.1336921338708355,1.125823238864541,1.1604167257901281,17.64632715145126,0.2714819561761732,0.2650034031830728,0.29069708110764625,10.592033104112401,10.468883644789457,11.550778372213244
1666,0.32545436669899186,0.8696203183746071,8.972084910496644,2.756577526492597,25.299676925940076,163.92845657085465,3.3340204404191613,3.1884906794513093,time_ratio,time_ratio_to_auto,runtime,extra_trees,162,65,1666,43.29175020358525,0.6660269262090038,0.6558023730758578,0.7014660628512501,17.861931916559115,0.2747989525624479,0.27390149305574596,0.3000341317150742,10.72144772902708,10.594525920728652,11.68030731451626
1666,0.32172625310783814,0.8232752678753593,8.709783660802053,3.029131239486774,22.35955347929831,157.8384431171968,3.3340204404191613,3.219610966876203,time_ratio,time_ratio_to_auto,runtime,xgboost,162,65,1666,115.24387476732954,1.7729826887281468,1.7373861300293356,2.3021368813235314,0.6114693616982549,0.009407220949203923,0.007211959920823574,0.01592774731107056,0.3670284283903091,0.2837627939879894,0.627414651788198
1666,0.7733225626339012,1.9713916085054823,18.951791528458838,7.480537350485182,51.67909548881561,273.86504255998716,3.3340204404191613,2.9541133109516817,time_ratio,time_ratio_to_auto,ptx_launch,random_forest,71,65,1666,66.92599872569554,1.0296307496260853,1.027015837840736,1.083076275093481,17.308326068799943,0.2662819395199991,0.2636302129831165,0.2899057060480118,10.389151301800686,10.260808803141117,11.171556983859492
1666,0.7264384561329825,1.6559103341977772,18.500827164431158,7.25919544957836,50.56224777063804,257.97660816341596,3.3340204404191613,3.0573801289150015,time_ratio,time_ratio_to_auto,ptx_launch,extra_trees,71,65,1666,37.29304160224274,0.5737391015729651,0.5656282820273191,0.6172118008602411,17.35440614260733,0.2669908637324205,0.26317478995770216,0.2890711554326117,10.41681040972829,10.286171156913042,11.264572375310728
1666,0.7025162310961682,1.788183613724149,17.188793939244817,6.597109131185393,45.83923277235977,250.4719681530966,3.3340204404191613,3.0018817003534624,time_ratio,time_ratio_to_auto,ptx_launch,xgboost,71,65,1666,79.41559180198237,1.2217783354151135,1.173474936047569,1.6309016547165813,0.45669498830102384,0.007026076743092674,0.0047492829617112875,0.019862846238538623,0.2741266436380695,0.1867519598454237,0.7823432993430358
1666,0.3838583397399856,0.9949011093741017,9.715814879280257,4.3383224406292165,23.431534096980393,172.45287751202565,3.3340204404191613,3.1477456510027686,time_ratio,time_ratio_to_auto,ptx_runtime,random_forest,214,65,1666,86.3440878058318,1.3283705816281817,1.3199357641860843,1.372865226957947,17.236040039919317,0.2651698467679895,0.26269394904375076,0.2820562877226621,10.345762328883142,10.217085382184731,11.126909152174798
1666,0.31760355488010905,0.8333015784645869,8.305424182864625,2.9702475718715418,23.65809790882132,124.11672331419273,3.3340204404191613,3.1822125451623324,time_ratio,time_ratio_to_auto,ptx_runtime,extra_trees,214,65,1666,50.40197984245606,0.775415074499324,0.7677816092036664,0.812090756278485,17.54496467136778,0.26992253340565814,0.26507026399485767,0.2885434601455927,10.5311912793324,10.322854602709413,11.427035054335228
1666,0.35582029243006713,0.9294741650069749,9.050129977446367,3.426906959055409,23.87264693457113,118.13212263336001,3.3340204404191613,3.2051805331498064,time_ratio,time_ratio_to_auto,ptx_runtime,xgboost,214,65,1666,138.66634885245003,2.1333284438838467,1.9593918470200151,2.917128004739061,0.7457588615361601,0.011473213254402464,0.008888856042176485,0.024946317682042717,0.44763437066996403,0.3509213961660862,0.959473757001643
1666,0.36437053144566556,0.9669540888037138,9.420041945934537,3.8845179613355576,24.35461550461687,182.7552285059958,3.3340204404191613,3.166496301088272,time_ratio,time_ratio_to_auto,launch_runtime,random_forest,174,65,1666,75.22307057166472,1.1572780087948418,1.1504896990954876,1.1875702898949385,17.195271567907184,0.2645426395062644,0.26380639686249197,0.28134549167007206,10.321291457327241,10.281600111808915,11.021979348734021
1666,0.3199822070952386,0.8677186155627494,8.360458368124746,2.678855302526302,22.391794508637226,108.87278016917821,3.3340204404191613,3.1797001227414827,time_ratio,time_ratio_to_auto,launch_runtime,extra_trees,174,65,1666,44.76608348614536,0.6887089767099287,0.6824953129980713,0.7155753520783037,17.934151706285775,0.2759100262505504,0.26962963095866144,0.3056415257509798,10.764796942548484,10.54820258062906,12.151387713133143
1666,0.3401467079120318,0.8786987032423118,9.191176653641437,3.0537519567517695,25.40438501019667,168.08809041038097,3.3340204404191613,3.2170532867759647,time_ratio,time_ratio_to_auto,launch_runtime,xgboost,174,65,1666,147.60107886767946,2.2707858287335303,2.1476981448940933,3.0733392929658296,0.7070097075775266,0.01087707242426964,0.007835258962586522,0.023939360771328213,0.4243755747764265,0.30511772260069847,0.9279938611703423
1666,0.389284028435479,1.0090125296227317,9.846711462317796,4.436119708911757,24.227588910323433,184.81578482538953,3.3340204404191613,3.1422344428167914,time_ratio,time_ratio_to_auto,ptx_launch_runtime,random_forest,226,65,1666,88.7322609515395,1.3651117069467615,1.35642765997909,1.4018493548035622,17.86686168727465,0.2748747951888408,0.2693679858930409,0.3026320439763367,10.724406775074819,10.560060236603022,11.848104655599364
1666,0.3266031753748105,0.8584692302831457,8.280994843084944,2.883790142028605,22.372034995996522,105.02066243038809,3.3340204404191613,3.172714230624555,time_ratio,time_ratio_to_auto,ptx_launch_runtime,extra_trees,226,65,1666,52.45389676745981,0.8069830271916894,0.8024442829191685,0.8298698462545872,17.75367671297863,0.27313348789197894,0.26952583086676896,0.29396082484163344,10.656468615233273,10.563282193616033,11.522336785609905
1666,0.3604402236594596,0.9682900345015271,9.036373290332573,3.451491006294035,23.271877462103568,125.6627049691829,3.3340204404191613,3.183454597160882,time_ratio,time_ratio_to_auto,ptx_launch_runtime,xgboost,226,65,1666,173.3596084015444,2.6670708984852984,2.221217691199854,3.601147657353431,0.861483127810061,0.013253586581693245,0.009319095173850656,0.025448548747226594,0.5170967153721854,0.36953743547201157,0.9910579466332609
1666,0.2799704937216415,0.5475832510244909,21.5013614509916,9.430502121759968,51.213750638995066,290.35568841023684,1.1990506902545597,1.10081912725134,energy_ratio,energy_ratio_to_auto,ptx,random_forest,59,65,1666,62.09326734021306,0.9552810360032779,0.9511952500324696,1.0165099020581692,17.29009081167169,0.26600139710264137,0.2616951910313219,0.29359425622969865,10.378205769310737,10.21899695508182,11.488056854488185
1666,0.26961357125092406,0.5344040101289996,20.965953645955103,8.58609725798761,50.288413476401516,335.8175412645763,1.1990506902545597,1.1064957579367967,energy_ratio,energy_ratio_to_auto,ptx,extra_trees,59,65,1666,35.82193890004419,0.5511067523083721,0.546537313843146,0.5926971995737403,17.957301023649052,0.2762661695946008,0.2706593400798738,0.30922222044318914,10.77869209102584,10.576790574794778,11.893162324738043
1666,0.2682329611258873,0.5325434437403616,21.89080530725109,8.094895205158366,52.70849629979321,341.9367877034139,1.1990506902545597,1.1302743011913379,energy_ratio,energy_ratio_to_auto,ptx,xgboost,59,65,1666,87.33250225614756,1.3435769577868857,1.2303712179418653,1.9245470101945104,0.5334139035549015,0.008206367746998485,0.004443869926035404,0.020665033673867583,0.3201764126980201,0.17295684665441513,0.7964708018474854
