constraint_name,constraint_limit,policy_name,n_kernels,weighted_selected_energy_saving_pct,weighted_oracle_energy_saving_pct,weighted_oracle_gap_pp,weighted_selected_slowdown_pct,weighted_oracle_slowdown_pct,weighted_selected_time_ratio,weighted_oracle_time_ratio,mean_selected_energy_saving_pct,median_selected_energy_saving_pct,mean_selected_slowdown_pct,median_selected_slowdown_pct,p90_selected_slowdown_pct,violation_count,violation_rate_pct,max_violation_over_bound_pct,mean_violation_over_bound_pct,max_violating_slowdown_pct,auto_selection_rate_pct
0pct,1.0,best_global_hindsight,65,0.0,12.125011319599665,12.125011319599665,0.0,-0.6686831095917389,1.0,0.9933131689040826,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
0pct,1.0,loko_global_fixed_clock,65,0.0,12.125011319599665,12.125011319599665,0.0,-0.6686831095917389,1.0,0.9933131689040826,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
0pct,1.0,strict_global_hindsight,65,0.0,12.125011319599665,12.125011319599665,0.0,-0.6686831095917389,1.0,0.9933131689040826,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
0pct,1.0,strict_loko_global_fixed_clock,65,0.0,12.125011319599665,12.125011319599665,0.0,-0.6686831095917389,1.0,0.9933131689040826,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
0pct,1.0,per_kernel_oracle,65,12.125011319599665,12.125011319599665,0.0,-0.6686831095917389,-0.6686831095917389,0.9933131689040826,0.9933131689040826,13.417385499666647,10.132103811330728,-0.9278184641052705,-0.3477028322567355,0.0,0,0.0,0.0,0.0,0.0,13.846153846153847
1pct,1.01,best_global_hindsight,65,0.0,12.157291708534757,12.157291708534757,0.0,-0.6673675353228159,1.0,0.9933263246467718,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
1pct,1.01,loko_global_fixed_clock,65,0.0,12.157291708534757,12.157291708534757,0.0,-0.6673675353228159,1.0,0.9933263246467718,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
1pct,1.01,strict_global_hindsight,65,0.0,12.157291708534757,12.157291708534757,0.0,-0.6673675353228159,1.0,0.9933263246467718,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
1pct,1.01,strict_loko_global_fixed_clock,65,0.0,12.157291708534757,12.157291708534757,0.0,-0.6673675353228159,1.0,0.9933263246467718,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
1pct,1.01,per_kernel_oracle,65,12.157291708534757,12.157291708534757,0.0,-0.6673675353228159,-0.6673675353228159,0.9933263246467718,0.9933263246467718,18.684051986442785,14.615172495831318,-0.5175752576266178,-0.09493646565692515,0.6237372012217836,0,0.0,0.0,0.0,0.0,1.5384615384615385
2pct,1.02,best_global_hindsight,65,0.0,15.495416918486471,15.495416918486471,0.0,0.4530349510832865,1.0,1.0045303495108329,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
2pct,1.02,loko_global_fixed_clock,65,6.759411678945959,15.495416918486471,8.736005239540512,1.2217185229074001,0.4530349510832865,1.012217185229074,1.0045303495108329,0.31544171623371037,0.0,0.06980873145641074,0.0,0.0,2,3.076923076923077,0.3987405363758967,0.2687837723333475,2.3987405363758985,96.92307692307692
2pct,1.02,strict_global_hindsight,65,0.0,15.495416918486471,15.495416918486471,0.0,0.4530349510832865,1.0,1.0045303495108329,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
2pct,1.02,strict_loko_global_fixed_clock,65,0.0,15.495416918486471,15.495416918486471,0.0,0.4530349510832865,1.0,1.0045303495108329,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
2pct,1.02,per_kernel_oracle,65,15.495416918486471,15.495416918486471,0.0,0.4530349510832865,0.4530349510832865,1.0045303495108329,1.0045303495108329,23.24935156059403,22.6349793586765,0.34414049553869086,0.487000495115697,1.8377422523949205,0,0.0,0.0,0.0,0.0,0.0
5pct,1.05,best_global_hindsight,65,14.000255339153512,19.488570768264168,5.488315429110656,2.04647322651319,2.0943865993294564,1.020464732265132,1.0209438659932946,8.135788670506791,9.376955133721143,0.3848874658741154,0.8619961689672495,2.9749845113436812,1,1.5384615384615385,3.5888956555466756,3.5888956555466756,8.588895655546679,0.0
5pct,1.05,loko_global_fixed_clock,65,14.000255339153512,19.488570768264168,5.488315429110656,2.04647322651319,2.0943865993294564,1.020464732265132,1.0209438659932946,8.135788670506791,9.376955133721143,0.3848874658741154,0.8619961689672495,2.9749845113436812,1,1.5384615384615385,3.5888956555466756,3.5888956555466756,8.588895655546679,0.0
5pct,1.05,strict_global_hindsight,65,0.0,19.488570768264168,19.488570768264168,0.0,2.0943865993294564,1.0,1.0209438659932946,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0
5pct,1.05,strict_loko_global_fixed_clock,65,2.096921948302466e-05,19.488570768264168,19.488549799044684,1.9298806086531783e-05,2.0943865993294564,1.0000001929880609,1.0209438659932946,0.12110939839093453,0.0,0.13213685623917967,0.0,0.0,1,1.5384615384615385,3.5888956555466756,3.5888956555466756,8.588895655546679,98.46153846153847
5pct,1.05,per_kernel_oracle,65,19.488570768264168,19.488570768264168,0.0,2.0943865993294564,2.0943865993294564,1.0209438659932946,1.0209438659932946,27.924988769473153,30.298788814121924,1.5826743709375264,1.7679877974655644,4.140782876769076,0,0.0,0.0,0.0,0.0,0.0
