constraint_name,constraint_limit,feature_set,model,n_kernels,mean_selected_energy_saving_pct,median_selected_energy_saving_pct,weighted_selected_energy_saving_pct,mean_oracle_energy_saving_pct,median_oracle_energy_saving_pct,weighted_oracle_energy_saving_pct,weighted_oracle_gap_pp,mean_oracle_gap_pp,median_oracle_gap_pp,mean_selected_slowdown_pct,median_selected_slowdown_pct,p90_selected_slowdown_pct,weighted_selected_slowdown_pct,weighted_oracle_slowdown_pct,weighted_selected_time_ratio,weighted_oracle_time_ratio,violation_count,violation_rate_pct,max_violation_over_bound_pct,mean_violation_over_bound_pct,max_violating_slowdown_pct,auto_selection_rate_pct,no_pred_feasible_rate_pct
0pct,1.0,ptx,random_forest,65,3.154927294034974,0.5259263711708373,6.780998131767591,13.417385499666647,10.132103811330728,12.125011319599665,5.344013187832074,10.262458205631676,2.782012544146817,-0.23932385087225425,0.0,0.5367767909617218,-0.5251969708849002,-0.6686831095917389,0.994748030291151,0.9933131689040826,16,24.615384615384617,2.8775796737743553,0.7851573165039816,2.8775796737743553,30.76923076923077,0.0
0pct,1.0,ptx,extra_trees,65,4.181126671383691,1.3777147892540809,6.871824696441331,13.417385499666647,10.132103811330728,12.125011319599665,5.253186623158333,9.236258828282958,1.1569201067882844,-0.47493756250432395,-0.059810234507295945,0.5337815184318729,-0.4970861904289081,-0.6686831095917389,0.9950291380957109,0.9933131689040826,14,21.53846153846154,3.1754102115570504,1.0335505087557493,3.1754102115570504,21.53846153846154,0.0
0pct,1.0,ptx,xgboost,65,4.209210980212402,0.6066258127655599,6.907251410727511,13.417385499666647,10.132103811330728,12.125011319599665,5.217759908872154,9.208174519454246,1.9213134955647693,-0.36283696731243265,0.0,1.0222763985692451,-0.4913570177442539,-0.6686831095917389,0.9950864298225575,0.9933131689040826,16,24.615384615384617,4.385422095058189,1.135518585248295,4.385422095058189,33.84615384615385,0.0
0pct,1.0,launch,random_forest,65,4.789812613893298,1.1884663002686424,6.287056754195719,13.417385499666647,10.132103811330728,12.125011319599665,5.837954565403946,8.62757288577335,0.7193617165359818,-0.16839447394654003,-0.008215100347241933,0.34084441993186976,-0.6779551823208663,-0.6686831095917389,0.9932204481767913,0.9933131689040826,13,20.0,8.588895655546679,1.3947344888663458,8.588895655546679,27.692307692307693,0.0
0pct,1.0,launch,extra_trees,65,4.8619879389107075,2.8530131876797205,6.275790970691276,13.417385499666647,10.132103811330728,12.125011319599665,5.849220348908389,8.555397560755942,1.9998135321475319,0.3757041651885689,-0.04397741258296284,1.7289191855706507,-0.5380447633212326,-0.6686831095917389,0.9946195523667877,0.9933131689040826,17,26.153846153846157,27.40153996940249,4.460853593629715,27.40153996940249,18.461538461538463,0.0
0pct,1.0,launch,xgboost,65,8.613537314180064,1.1884663002686424,6.891987315475645,13.417385499666647,10.132103811330728,12.125011319599665,5.23302400412402,4.803848185486585,0.6866195578305367,2.7257373458891117,0.0,4.029918463865146,-0.3641636142528548,-0.6686831095917389,0.9963583638574715,0.9933131689040826,24,36.92307692307693,77.80841139135136,8.554902830651546,77.80841139135136,27.692307692307693,0.0
0pct,1.0,runtime,random_forest,65,6.29332668595034,2.045090829180596,6.774659169362218,13.417385499666647,10.132103811330728,12.125011319599665,5.3503521502374465,7.1240588137163074,2.0827286489459973,-0.47961968598681526,-0.024364716344082993,0.4723951018879147,-0.6435411162002524,-0.6686831095917389,0.9935645888379975,0.9933131689040826,13,20.0,3.4813262242922693,1.036937796014283,3.4813262242922693,27.692307692307693,0.0
0pct,1.0,runtime,extra_trees,65,5.419088827864996,3.198652325523643,6.82901749694741,13.417385499666647,10.132103811330728,12.125011319599665,5.295993822652255,7.998296671801652,2.0827286489459973,-0.5538975140801959,0.0,0.8411819572675456,-0.5265762902631699,-0.6686831095917389,0.9947342370973683,0.9933131689040826,15,23.076923076923077,2.98265643782738,1.0788149429680072,2.98265643782738,27.692307692307693,0.0
0pct,1.0,runtime,xgboost,65,9.045057384987324,6.627821479637919,6.88282712426076,13.417385499666647,10.132103811330728,12.125011319599665,5.242184195338905,4.372328114679327,0.6045856828342355,-0.42757025506783225,0.0,1.020028617210289,-0.6407796853410641,-0.6686831095917389,0.9935922031465894,0.9933131689040826,21,32.30769230769231,8.588895655546679,1.2410473871046148,8.588895655546679,18.461538461538463,0.0
0pct,1.0,ptx_launch,random_forest,65,2.8283620022435794,0.35552778483608494,6.77724318910583,13.417385499666647,10.132103811330728,12.125011319599665,5.347768130493835,10.589023497423069,4.194475400707242,-0.32543514230938403,0.0,0.227845922805261,-0.5252982186073285,-0.6686831095917389,0.9947470178139267,0.9933131689040826,12,18.461538461538463,1.9739413870773381,0.6849689002583741,1.9739413870773381,32.30769230769231,0.0
