constraint_name,constraint_limit,n_kernels,global_energy_saving_pct,global_slowdown_pct,global_time_ratio,global_energy_ratio,auto_total_time_ms,selected_total_time_ms,allowed_total_time_ms,auto_total_energy_mJ,selected_total_energy_mJ,auto_selection_rate_pct
0pct,1.0,65,13.398279152902715,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,3232.870959453133,3232.8709452852145,3232.870959453133,568841.4193367946,492626.45803671697,0.0
1pct,1.01,65,16.375674514650907,0.9999989366967332,1.0099999893669673,0.8362432548534909,3232.870959453133,3265.199634672442,3265.1996690476644,568841.4193367946,475689.8000016807,0.0
2pct,1.02,65,19.178005564901678,1.999337919790567,1.0199933791979057,0.8082199443509832,3232.870959453133,3297.5069744433763,3297.5283786421955,568841.4193367946,459748.9802809185,0.0
5pct,1.05,65,20.08970929678616,2.93751938892739,1.029375193889274,0.7991029070321384,3232.870959453133,3327.837170706072,3394.51450742579,568841.4193367946,454562.83183232025,0.0
